,losss,bces,klds
0,0.6622072416856188,0.6307394116180236,0.031467830067595716
1,0.4978093115949576,0.46360520531330074,0.03420410628165731
2,0.4717706640839737,0.43742478002740526,0.034345884056569166
3,0.45531119041655566,0.4204466570540692,0.034864533362486266
4,0.4472107952890796,0.4124553222601381,0.034755473028941435
5,0.4429565607151172,0.40722832089018046,0.03572823982493656
6,0.4422718756497001,0.4053122245813841,0.036959651068315995
7,0.43778772133716387,0.4003332442150552,0.03745447712210879
8,0.43068579393797,0.3940166780354025,0.0366691159025671
9,0.4280698620984104,0.3909913543666048,0.037078507731806015
